Starting Simulation...
num_nodes is set 3
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
speed is 29058.469111, pass dst 2
speed is 44790.679290, pass dst 0
speed is 44795.601470, pass dst 0
speed is 44805.906924, pass dst 0
speed is 2371.771227, pass dst 2
speed is 2371.717322, pass dst 2
speed is 2371.663988, pass dst 2
speed is 44813.793160, pass dst 0
speed is 44823.487825, pass dst 0
speed is 2370.827064, pass dst 2
speed is 2370.776079, pass dst 2
speed is 2370.465048, pass dst 2
speed is 2369.892656, pass dst 2
speed is 2369.577428, pass dst 2
speed is 2369.526061, pass dst 2
speed is 2369.214925, pass dst 2
speed is 2368.801656, pass dst 2
speed is 2368.500097, pass dst 2
speed is 2368.204172, pass dst 2
speed is 2367.366462, pass dst 2
speed is 2366.827916, pass dst 2
speed is 2366.775386, pass dst 2
speed is 2366.670495, pass dst 2
speed is 2366.092817, pass dst 2
speed is 2365.751906, pass dst 2
speed is 2365.704262, pass dst 2
speed is 2365.186641, pass dst 2
speed is 2364.854558, pass dst 2
speed is 2364.522171, pass dst 2
speed is 2364.423571, pass dst 2
speed is 2364.146643, pass dst 2
speed is 2363.822644, pass dst 2
speed is 2363.503719, pass dst 2
speed is 2363.408729, pass dst 2
speed is 2362.776362, pass dst 2
speed is 2362.732707, pass dst 2
speed is 2361.988744, pass dst 2
speed is 2361.895502, pass dst 2
speed is 2361.550954, pass dst 2
speed is 2361.462969, pass dst 2
speed is 2361.164577, pass dst 2
speed is 2360.873891, pass dst 2
speed is 2360.339156, pass dst 2
speed is 2360.006190, pass dst 2
speed is 2359.468885, pass dst 2
speed is 2358.987922, pass dst 2
speed is 2358.946939, pass dst 2
speed is 2358.391611, pass dst 2
speed is 2358.153219, pass dst 2
speed is 2358.076059, pass dst 2
speed is 2357.846479, pass dst 2
speed is 2357.321557, pass dst 2
speed is 2357.096450, pass dst 2
speed is 2357.020804, pass dst 2
speed is 2356.755008, pass dst 2
speed is 2356.307908, pass dst 2
speed is 2356.051549, pass dst 2
speed is 2355.797893, pass dst 2
speed is 2355.759276, pass dst 2
speed is 2354.731195, pass dst 2
speed is 2354.490813, pass dst 2
speed is 2354.253428, pass dst 2
speed is 2354.015773, pass dst 2
speed is 2353.982767, pass dst 2
speed is 2353.949150, pass dst 2
speed is 2353.865594, pass dst 2
speed is 2353.438113, pass dst 2
speed is 2353.351942, pass dst 2
speed is 2353.319570, pass dst 2
speed is 2352.963492, pass dst 2
speed is 2352.550809, pass dst 2
speed is 2352.329661, pass dst 2
speed is 2351.960763, pass dst 2
speed is 2351.600307, pass dst 2
speed is 2351.569456, pass dst 2
speed is 2351.359017, pass dst 2
speed is 2351.155017, pass dst 2
speed is 2351.126348, pass dst 2
speed is 2351.095445, pass dst 2
speed is 2351.064880, pass dst 2
speed is 2350.694721, pass dst 2
speed is 2350.388687, pass dst 2
speed is 2350.360479, pass dst 2
speed is 2350.304484, pass dst 2
speed is 2350.002577, pass dst 2
speed is 2349.579632, pass dst 2
speed is 2349.268326, pass dst 2
speed is 2349.215550, pass dst 2
speed is 2348.874419, pass dst 2
speed is 2348.674316, pass dst 2
speed is 2348.597278, pass dst 2
speed is 2348.572906, pass dst 2
speed is 2348.241868, pass dst 2
speed is 2348.192024, pass dst 2
speed is 2348.005314, pass dst 2
speed is 2347.862424, pass dst 2
speed is 2347.675800, pass dst 2
speed is 2347.471408, pass dst 2
speed is 2347.316557, pass dst 2
speed is 2347.161761, pass dst 2
speed is 2347.034681, pass dst 2
speed is 2346.884012, pass dst 2
speed is 2346.716623, pass dst 2
speed is 2346.595650, pass dst 2
speed is 2346.475608, pass dst 2
speed is 2346.317426, pass dst 2
speed is 2346.069322, pass dst 2
speed is 2346.049816, pass dst 2
speed is 2345.918362, pass dst 2
speed is 2345.768973, pass dst 2
speed is 2345.643578, pass dst 2
speed is 2345.429933, pass dst 2
speed is 2345.228110, pass dst 2
speed is 2345.032900, pass dst 2
speed is 2344.998017, pass dst 2
speed is 2344.827951, pass dst 2
speed is 2344.559684, pass dst 2
speed is 2344.320763, pass dst 2
speed is 2344.097029, pass dst 2
speed is 2344.006395, pass dst 2
speed is 2343.872169, pass dst 2
speed is 2343.860265, pass dst 2
speed is 2343.847943, pass dst 2
speed is 2343.753263, pass dst 2
speed is 2343.730888, pass dst 2
speed is 2343.609643, pass dst 2
speed is 2343.598954, pass dst 2
speed is 2343.533326, pass dst 2
speed is 2343.409812, pass dst 2
speed is 2343.380156, pass dst 2
speed is 2343.370144, pass dst 2
